categoria,canal,region,segmento_cliente,compras_previas,meses_cliente,descuento_aplicado,productos_distintos,ticket_promedio_soles
Deportes,Tienda física,Arequipa,Silver,27,63,31.7,9,518.8
Belleza,Tienda física,Lima,Gold,35,67,8.8,10,739.87
Hogar y Deco,Tienda física,Cusco,Silver,21,11,7.4,8,581.33
Belleza,Tienda física,Arequipa,Platinum,25,43,38.0,2,679.36
Belleza,Tienda física,Lima,Gold,28,17,8.4,1,467.73
Electrónica,Online,Arequipa,Gold,47,4,10.4,2,970.11
Hogar y Deco,Online,Trujillo,Gold,15,63,38.8,7,765.58
Hogar y Deco,Online,Cusco,Gold,4,68,29.4,4,685.2
Hogar y Deco,Online,Piura,Platinum,29,81,28.0,10,1417.86
Belleza,Tienda física,Arequipa,Gold,9,41,34.1,5,416.74
Deportes,Online,Trujillo,Básico,27,83,4.6,12,581.09
Hogar y Deco,Tienda física,Piura,Gold,26,5,28.2,7,755.87
Belleza,Online,Piura,Platinum,19,32,20.1,3,689.78
Electrónica,Online,Arequipa,Gold,28,70,33.2,10,1103.71
Deportes,Online,Lima,Básico,17,35,20.3,2,223.55
Electrónica,Tienda física,Arequipa,Platinum,43,22,24.8,13,1962.67
Deportes,Online,Trujillo,Platinum,41,65,19.1,7,1135.71
Belleza,Tienda física,Piura,Básico,42,22,19.1,5,351.51
Ropa y Moda,Tienda física,Arequipa,Básico,20,11,30.7,14,337.02
Deportes,Online,Lima,Básico,45,77,25.1,1,408.16
Electrónica,Online,Arequipa,Básico,40,3,25.3,1,319.21
Belleza,Online,Cusco,Básico,39,9,18.0,9,383.25
Deportes,Tienda física,Lima,Platinum,49,60,21.2,5,1205.31
Ropa y Moda,Online,Trujillo,Platinum,23,76,29.8,1,796.02
Ropa y Moda,Tienda física,Piura,Gold,47,14,33.0,7,622.61
Hogar y Deco,Tienda física,Arequipa,Gold,32,18,27.9,9,843.81
Hogar y Deco,Online,Lima,Silver,47,73,37.0,11,770.29
Electrónica,Online,Cusco,Gold,33,23,32.8,1,923.11
Deportes,Tienda física,Lima,Gold,46,74,22.5,10,922.9
Deportes,Tienda física,Cusco,Básico,5,83,26.9,14,452.89
Hogar y Deco,Tienda física,Trujillo,Básico,43,47,37.1,13,549.34
Deportes,Online,Piura,Gold,48,69,24.8,4,797.75
Deportes,Tienda física,Trujillo,Silver,34,47,33.0,14,614.41
Ropa y Moda,Online,Arequipa,Básico,40,30,27.6,3,315.05
Hogar y Deco,Tienda física,Lima,Gold,11,25,22.1,5,785.3
Belleza,Tienda física,Cusco,Gold,3,28,9.7,7,465.28
Hogar y Deco,Online,Cusco,Platinum,33,25,17.0,8,1306.76
Belleza,Tienda física,Lima,Silver,11,74,38.7,13,447.12
Ropa y Moda,Online,Lima,Platinum,16,78,26.3,2,763.65
Electrónica,Online,Arequipa,Silver,18,58,22.6,7,699.2
Deportes,Tienda física,Trujillo,Básico,30,41,37.3,14,449.26
Ropa y Moda,Online,Cusco,Silver,48,25,23.5,14,594.16
Deportes,Online,Arequipa,Gold,10,78,21.0,1,544.51
Electrónica,Tienda física,Trujillo,Gold,18,48,30.4,7,1049.05
Electrónica,Online,Arequipa,Silver,38,10,28.5,8,678.79
Ropa y Moda,Online,Cusco,Silver,19,75,7.7,2,444.72
Electrónica,Online,Lima,Silver,36,11,18.9,9,737.3
Belleza,Tienda física,Lima,Platinum,13,21,18.9,1,703.29
Electrónica,Online,Trujillo,Silver,46,45,15.1,13,872.75
Deportes,Tienda física,Piura,Básico,3,7,20.7,6,182.53
Deportes,Tienda física,Trujillo,Platinum,10,81,16.5,1,1007.33
Deportes,Online,Piura,Platinum,38,64,8.0,3,1047.17
Deportes,Online,Arequipa,Silver,1,64,16.5,11,507.0
Belleza,Online,Arequipa,Básico,27,2,2.9,6,304.57
Hogar y Deco,Tienda física,Cusco,Platinum,46,76,23.0,3,1526.4
Ropa y Moda,Online,Piura,Gold,8,42,34.1,8,405.46
Deportes,Online,Cusco,Platinum,46,82,29.0,5,1131.95
Electrónica,Online,Lima,Silver,42,54,14.4,2,717.63
Deportes,Online,Piura,Básico,17,75,3.5,4,447.98
Electrónica,Online,Trujillo,Silver,9,16,8.1,9,646.45
Electrónica,Tienda física,Lima,Gold,6,18,21.8,4,884.34
Deportes,Tienda física,Lima,Gold,43,59,8.3,10,870.21
Belleza,Online,Trujillo,Gold,25,16,21.8,10,524.6
Electrónica,Online,Lima,Silver,39,6,9.3,8,761.49
Electrónica,Online,Piura,Platinum,49,57,34.0,5,1725.86
Deportes,Online,Cusco,Silver,28,47,15.9,11,559.04
Electrónica,Tienda física,Lima,Básico,33,48,9.8,11,589.31
Electrónica,Online,Piura,Platinum,37,42,32.5,10,1776.55
Deportes,Tienda física,Arequipa,Gold,9,76,13.7,13,786.44
Deportes,Tienda física,Piura,Silver,18,60,4.5,13,638.28
Ropa y Moda,Online,Cusco,Gold,21,77,22.8,14,718.54
Belleza,Tienda física,Piura,Gold,2,4,23.3,1,242.13
Belleza,Tienda física,Trujillo,Básico,43,2,28.6,7,283.69
Electrónica,Tienda física,Cusco,Platinum,38,59,9.6,3,1945.95
